Short_Desc,MajorGroup,FdGp_Desc,GmWt_1,Vitamins,Value
"CHEESE,MOZZARELLA,PART SKIM MILK",Dairy and Egg,Dairy and Egg Products,28.35,Vit_E,0.43
"CHEESE,MOZZARELLA,PART SKIM MILK",Dairy and Egg,Dairy and Egg Products,28.35,Thiamin,0.018
"CHEESE,MOZZARELLA,PART SKIM MILK",Dairy and Egg,Dairy and Egg Products,28.35,Riboflavin,0.303
"CHEESE,MOZZARELLA,PART SKIM MILK",Dairy and Egg,Dairy and Egg Products,28.35,Niacin,0.105
"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",Dairy and Egg,Dairy and Egg Products,132,Vit_A,703
"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",Dairy and Egg,Dairy and Egg Products,132,Vit_C,0
"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",Dairy and Egg,Dairy and Egg Products,132,Vit_E,0.462
"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",Dairy and Egg,Dairy and Egg Products,132,Thiamin,0.021
"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",Dairy and Egg,Dairy and Egg Products,132,Riboflavin,0.343
"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",Dairy and Egg,Dairy and Egg Products,132,Niacin,0.119
"CHEESE,MUENSTER",Dairy and Egg,Dairy and Egg Products,132,Vit_A,1120
"CHEESE,MUENSTER",Dairy and Egg,Dairy and Egg Products,132,Vit_C,0
"CHEESE,MUENSTER",Dairy and Egg,Dairy and Egg Products,132,Vit_E,0.465
"CHEESE,MUENSTER",Dairy and Egg,Dairy and Egg Products,132,Thiamin,0.013
"CHEESE,MUENSTER",Dairy and Egg,Dairy and Egg Products,132,Riboflavin,0.32
"CHEESE,MUENSTER",Dairy and Egg,Dairy and Egg Products,132,Niacin,0.103
"CHEESE,NEUFCHATEL",Dairy and Egg,Dairy and Egg Products,28.35,Vit_A,1134
"CHEESE,NEUFCHATEL",Dairy and Egg,Dairy and Egg Products,28.35,Vit_C,0
"CHEESE,NEUFCHATEL",Dairy and Egg,Dairy and Egg Products,28.35,Vit_E,0
"CHEESE,NEUFCHATEL",Dairy and Egg,Dairy and Egg Products,28.35,Thiamin,0.015
"CHEESE,NEUFCHATEL",Dairy and Egg,Dairy and Egg Products,28.35,Riboflavin,0.195
"CHEESE,NEUFCHATEL",Dairy and Egg,Dairy and Egg Products,28.35,Niacin,0.126
"CHEESE,PARMESAN,GRATED",Dairy and Egg,Dairy and Egg Products,100,Vit_A,701
"CHEESE,PARMESAN,GRATED",Dairy and Egg,Dairy and Egg Products,100,Vit_C,0
"CHEESE,PARMESAN,GRATED",Dairy and Egg,Dairy and Egg Products,100,Vit_E,0.8
"CHEESE,PARMESAN,GRATED",Dairy and Egg,Dairy and Egg Products,100,Thiamin,0.045
"CHEESE,PARMESAN,GRATED",Dairy and Egg,Dairy and Egg Products,100,Riboflavin,0.386
"CHEESE,PARMESAN,GRATED",Dairy and Egg,Dairy and Egg Products,100,Niacin,0.315
